[INFO   | transformer           | L29] 2024-12-10T23:46:02+0000: Wrote ['BF2_BFBD Furnace Body 12975mm Temp A', 'BF2_BFBD Furnace Body 12975mm Temp B', 'BF2_BFBD Furnace Body 12975mm Temp C', 'BF2_BFBD Furnace Body 12975mm Temp D', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A', 'BF2_BFBD Furnace Body 15162mm Temp A'] of temperature_variables for 2024-12-10 23:45:59. | transformer.py
[INFO   | transformer           | L29] 2024-12-10T23:46:02+0000: Wrote ['BF2 Coal flow switch No 1', 'BF2 Coal flow switch No 10', 'BF2 Coal flow switch No 11', 'BF2 Coal flow switch No 12', 'BF2 Coal flow switch No 13'] of switch_variables for 2024-12-10 23:45:59. | transformer.py
[INFO   | pipeline           | L27] 2024-12-10T23:46:02+0000: Data preprocessing complete. | pipeline.py
[INFO   | task_engine           | L272] 2024-12-10T23:46:02+0000: Finished in state Completed() | task_engine.py
[INFO   | pipeline           | L35] 2024-12-10T23:46:03+0000: Starting data write task... | pipeline.py
[INFO   | writer           | L24] 2024-12-10T23:46:03+0000: Called the influxdb client <influxdb_client_3.InfluxDBClient3 object at 0x000001EC492F9820>. | writer.py
[INFO   | pipeline           | L37] 2024-12-10T23:46:03+0000: Data successfully written to InfluxDB. | pipeline.py
[INFO   | task_engine           | L272] 2024-12-10T23:46:03+0000: Finished in state Completed() | task_engine.py
[INFO   | pipeline           | L52] 2024-12-10T23:46:03+0000: Data pipeline completed successfully. | pipeline.py
[INFO   | _client           | L1027] 2024-12-10T23:46:03+0000: HTTP Request: POST http://127.0.0.1:8355/api/flow_runs/da8eef7d-31a0-4998-a5fa-79fe6112e54c/set_state "HTTP/1.1 201 Created" | _client.py
[INFO   | flow_engine           | L685] 2024-12-10T23:46:03+0000: Finished in state Completed() | flow_engine.py
[INFO   | app           | L17] 2024-12-10T23:46:03+0000: Finished | app.py
[INFO   | app           | L19] 2024-12-10T23:46:03+0000: Took 0:00:11.412566 seconds. | app.py
[INFO   | app           | L14] 2024-12-10T23:46:03+0000: Start Time 2024-12-10 23:46:03.708257 | app.py
[INFO   | app           | L15] 2024-12-10T23:46:03+0000: Starting the data pipeline | app.py
[INFO   | _client           | L1742] 2024-12-10T23:46:03+0000: HTTP Request: POST http://127.0.0.1:8355/api/logs/ "HTTP/1.1 201 Created" | _client.py
[INFO   | _client           | L1027] 2024-12-10T23:46:04+0000: HTTP Request: GET http://127.0.0.1:8355/api/admin/version "HTTP/1.1 200 OK" | _client.py
[INFO   | _client           | L1027] 2024-12-10T23:46:04+0000: HTTP Request: GET http://127.0.0.1:8355/api/csrf-token?client=88b27f47-7f3e-4388-9196-d414d186983c "HTTP/1.1 422 Unprocessable Entity" | _client.py
[INFO   | _client           | L1027] 2024-12-10T23:46:04+0000: HTTP Request: POST http://127.0.0.1:8355/api/flows/ "HTTP/1.1 200 OK" | _client.py
[INFO   | _client           | L1027] 2024-12-10T23:46:04+0000: HTTP Request: POST http://127.0.0.1:8355/api/flow_runs/ "HTTP/1.1 201 Created" | _client.py
[INFO   | flow_engine           | L496] 2024-12-10T23:46:04+0000: Created flow run 'beautiful-hyena' for flow 'bf-data-200var' | flow_engine.py
[INFO   | _client           | L1027] 2024-12-10T23:46:04+0000: HTTP Request: POST http://127.0.0.1:8355/api/flow_runs/0de0166c-a183-4a1e-90ad-ef7c7422a409/set_state "HTTP/1.1 201 Created" | _client.py
[INFO   | _client           | L1027] 2024-12-10T23:46:04+0000: HTTP Request: GET http://127.0.0.1:8355/api/flow_runs/0de0166c-a183-4a1e-90ad-ef7c7422a409 "HTTP/1.1 200 OK" | _client.py
[ERROR   | flow_engine           | L400] 2024-12-10T23:46:08+0000: Crash detected! Execution was aborted by an interrupt signal. | flow_engine.py
[ERROR   | flow_engine           | L685] 2024-12-10T23:46:13+0000: Finished in state Running() | flow_engine.py
[INFO   | server           | L862] 2024-12-10T23:46:13+0000: Stopping temporary server on http://127.0.0.1:8355 | server.py
